model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,6.0,0.4375
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.0,0.375
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,1.0,1.0
GPT-4.1,scaffold_GPT-4.1,4.0,0.5357142857142857
GPT-5-Mini,scaffold_GPT-5-Mini,9.0,0.2589285714285714
GPT-O3-Mini,scaffold_GPT-O3-Mini,3.0,0.8571428571428572
GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,0.8660714285714286
GPT-OSS-120B,scaffold_GPT-OSS-120B,5.0,0.4642857142857143
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,8.0,0.30357142857142855
plain,plain,10.0,0.16666666666666666
