model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,1.5,0.7071067811865476,0.875,0.1767766952966369,3,1.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.5,2.1213203435596424,0.7857142857142857,0.30304576336566325,3,2.0
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,3.5,2.1213203435596424,0.6785714285714286,0.2525381361380527,3,3.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.0,1.4142135623730951,0.6071428571428572,0.15152288168283165,3,4.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.0,1.4142135623730951,0.6041666666666666,0.38301617314271325,3,5.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.6666666666666665,1.1547005383792515,0.46230158730158727,0.14873013755484257,3,6.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,5.25,3.181980515339464,0.35416666666666663,0.029462782549439473,3,7.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.75,1.0606601717798212,0.33035714285714285,0.06313453403451319,3,8.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,6.0,1.4142135623730951,0.3214285714285714,0.2525381361380527,3,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.5,0.7071067811865476,0.0,0.0,3,10.0
