model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,1.3333333333333333,0.5773502691896257,0.9583333333333334,0.07216878364870322,4,1.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,2.0,1.0,0.7857142857142857,0.2575393768188564,4,2.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,3.8333333333333335,0.28867513459481287,0.6071428571428571,0.030929478706587122,4,3.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,4.5,1.3228756555322954,0.5595238095238095,0.16877912950902174,4,4.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.0,2.6457513110645907,0.5416666666666666,0.3145764348029479,4,5.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,4.666666666666667,1.4433756729740645,0.5178571428571429,0.2028181552071526,4,6.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,5.0,1.3228756555322954,0.44047619047619047,0.11340808859081933,4,7.0
plain,plain,plain,5.875,3.3260336739125176,0.3169642857142857,0.2939204708714228,4,8.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,6.5,3.0413812651491097,0.25,0.21650635094610965,4,9.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.333333333333333,2.0816659994661326,0.08333333333333333,0.14433756729740646,4,10.0
