model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,9.0,0.25
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.0,0.5416666666666666
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,10.0,0.08333333333333333
GPT-4.1,scaffold_GPT-4.1,1.0,0.9583333333333334
GPT-5-Mini,scaffold_GPT-5-Mini,3.0,0.6071428571428571
GPT-O3-Mini,scaffold_GPT-O3-Mini,6.0,0.5178571428571429
GPT-O4-Mini,scaffold_GPT-O4-Mini,4.0,0.5595238095238095
GPT-OSS-120B,scaffold_GPT-OSS-120B,7.0,0.44047619047619047
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,2.0,0.7857142857142857
plain,plain,8.0,0.3169642857142857
