model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,1.1666666666666667,0.2886751345948129,0.9166666666666666,0.14433756729740646,4,1.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.8333333333333335,1.4433756729740643,0.6607142857142857,0.35580105080662994,4,2.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.333333333333333,3.685557397915997,0.5833333333333334,0.28867513459481287,4,3.0
plain,plain,plain,3.875,1.6520189667999174,0.5803571428571428,0.11800135477142264,4,4.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,3.8333333333333335,2.254624876411447,0.5654761904761905,0.187570848292723,4,5.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,5.0,1.7320508075688772,0.5238095238095238,0.13162704992557128,4,6.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.0,2.0,0.4166666666666667,0.14433756729740643,4,7.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,5.166666666666667,0.7637626158259734,0.3452380952380952,0.13521210347143509,4,8.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.333333333333333,2.886751345948129,0.25,0.33071891388307384,4,9.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,8.166666666666666,1.0408329997330665,0.13095238095238096,0.12542444943872308,4,10.0
