model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,0.5833333333333334
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.0,0.4166666666666667
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.0,0.6607142857142857
GPT-4.1,scaffold_GPT-4.1,1.0,0.9166666666666666
GPT-5-Mini,scaffold_GPT-5-Mini,5.0,0.5654761904761905
GPT-O3-Mini,scaffold_GPT-O3-Mini,9.0,0.25
GPT-O4-Mini,scaffold_GPT-O4-Mini,6.0,0.5238095238095238
GPT-OSS-120B,scaffold_GPT-OSS-120B,10.0,0.13095238095238096
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,8.0,0.3452380952380952
plain,plain,4.0,0.5803571428571428
