model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.25,0.3535533905932738,0.8333333333333333,0.23570226039551584,3,1.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.0,0.7071067811865476,0.7083333333333333,0.058925565098878946,3,2.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.75,1.0606601717798212,0.6696428571428572,0.06313453403451322,3,3.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.3333333333333335,1.2583057392117916,0.6051587301587301,0.2624678290763948,3,4.0
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,4.0,4.242640687119285,0.5714285714285714,0.6060915267313265,3,5.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.0,0.7071067811865476,0.5416666666666666,0.2946278254943948,3,6.0
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,5.0,1.4142135623730951,0.4732142857142857,0.13889597487592897,3,7.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.5,2.1213203435596424,0.2767857142857143,0.21465741571734478,3,8.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,6.5,0.7071067811865476,0.26785714285714285,0.025253813613805257,3,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.5,0.7071067811865476,0.0,0.0,3,10.0
