model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,8.0,0.3333333333333333
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.0,0.5
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,10.0,0.08333333333333333
GPT-4.1,scaffold_GPT-4.1,2.0,0.7857142857142857
GPT-5-Mini,scaffold_GPT-5-Mini,6.0,0.4702380952380952
GPT-O3-Mini,scaffold_GPT-O3-Mini,7.0,0.44047619047619047
GPT-O4-Mini,scaffold_GPT-O4-Mini,1.0,0.8690476190476191
GPT-OSS-120B,scaffold_GPT-OSS-120B,3.0,0.7440476190476191
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,9.0,0.2976190476190476
plain,plain,5.0,0.48214285714285715
