model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.1666666666666667,0.28867513459481287,0.8888888888888888,0.19245008972987526,4,1.0
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,2.5,1.3228756555322954,0.7738095238095237,0.17526704600399354,4,2.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.0,2.179449471770337,0.6746031746031745,0.17870365474916988,4,3.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.166666666666667,1.2583057392117918,0.6130952380952381,0.10763774595253053,4,4.0
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,4.0,1.7320508075688772,0.5952380952380952,0.26805548212375485,4,5.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,4.0,2.7838821814150108,0.4861111111111111,0.3393553256352949,4,6.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,5.666666666666667,1.1547005383792517,0.39285714285714285,0.1287696884094282,4,7.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,5.5,3.0413812651491097,0.3194444444444444,0.3127313958110473,4,8.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,1.0,0.21428571428571427,0.13946874421261882,4,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.333333333333334,0.5773502691896258,0.041666666666666664,0.07216878364870323,4,10.0
