model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,3.8333333333333335,2.5927248643506746,0.8372352285395763,0.16869660108575377,3,1.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,4.5,2.1213203435596424,0.6744306418219461,0.11199517341774505,3,2.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,7.666666666666666,4.242640687119285,0.6098901098901099,0.1890798352623369,3,3.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,10.75,0.3535533905932738,0.5863991081382385,0.03153207496929985,3,4.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,11.0,1.4142135623730951,0.5799888517279821,0.04059754652297334,3,5.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,10.666666666666668,2.5927248643506746,0.5677257525083612,0.08553075335422562,3,6.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,13.166666666666668,5.656854249492382,0.44963369963369965,0.037556953579505295,3,7.0
plain,plain,plain,16.0,8.945824600213095,0.3393587089239263,0.18633745119521009,3,8.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,18.333333333333336,1.1785113019775788,0.32998885172798215,0.07725358367478442,3,9.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,19.38888888888889,7.118702545121962,0.23711312841747623,0.15416521746713183,3,10.0
