model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,0.6098901098901099
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.0,0.44963369963369965
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.0,0.6744306418219461
GPT-4.1,scaffold_GPT-4.1,4.0,0.5863991081382385
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,0.8372352285395763
GPT-O3-Mini,scaffold_GPT-O3-Mini,9.0,0.32998885172798215
GPT-O4-Mini,scaffold_GPT-O4-Mini,5.0,0.5799888517279821
GPT-OSS-120B,scaffold_GPT-OSS-120B,6.0,0.5677257525083612
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,10.0,0.23711312841747623
plain,plain,8.0,0.3393587089239263
