model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,6.0,0.5909090909090908
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.0,0.7132867132867133
DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,0.6982872200263505
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.06020066889632107
GPT-4.1,automation_GPT-4.1,4.0,0.6669453734671125
GPT-5-Mini,automation_GPT-5-Mini,9.0,0.24247491638795987
GPT-O3-Mini,automation_GPT-O3-Mini,7.0,0.3687290969899666
GPT-O4-Mini,automation_GPT-O4-Mini,1.0,0.7357859531772575
GPT-OSS-120B,automation_GPT-OSS-120B,5.0,0.6544035674470456
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,8.0,0.34598493294145466
