model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,9.583333333333334,2.7105759945484316,0.5590858416945373,0.029167169346602326,3,1.0
plain,plain,plain,9.61111111111111,5.354990749378184,0.5416202155332591,0.08343782171530911,3,2.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,11.888888888888891,4.916902065927887,0.5307904655730743,0.06022617124099008,3,3.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,11.166666666666668,2.5927248643506746,0.5292642140468227,0.031137924032183496,3,4.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,10.583333333333334,5.539003119294622,0.5209890109890111,0.03766055896869009,3,5.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,13.0,5.185449728701348,0.4873244147157191,0.09480118339519981,3,6.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,12.5,1.6499158227686102,0.4784838350055741,0.04130701820978269,3,7.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,11.666666666666668,6.3639610306789285,0.4746376811594203,0.0358677352775785,3,8.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,16.0,2.1213203435596424,0.4311594202898551,0.09735528146771304,3,9.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,16.25,8.603132504436328,0.413003663003663,0.022016145201778952,3,10.0
