model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.0,0.5209890109890111
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,10.0,0.413003663003663
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,8.0,0.4746376811594203
GPT-4.1,scaffold_GPT-4.1,1.0,0.5590858416945373
GPT-5-Mini,scaffold_GPT-5-Mini,9.0,0.4311594202898551
GPT-O3-Mini,scaffold_GPT-O3-Mini,6.0,0.4873244147157191
GPT-O4-Mini,scaffold_GPT-O4-Mini,7.0,0.4784838350055741
GPT-OSS-120B,scaffold_GPT-OSS-120B,4.0,0.5292642140468227
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,0.5307904655730743
plain,plain,2.0,0.5416202155332591
