model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.0,0.5416666666666666
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.0,0.5833333333333334
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,8.0,0.3988095238095238
GPT-4.1,scaffold_GPT-4.1,6.0,0.44047619047619047
GPT-5-Mini,scaffold_GPT-5-Mini,10.0,0.16666666666666666
GPT-O3-Mini,scaffold_GPT-O3-Mini,7.0,0.43452380952380953
GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,0.7797619047619048
GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,0.8333333333333334
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,9.0,0.33928571428571425
plain,plain,5.0,0.48660714285714285
