model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,3.0,2.8284271247461903,0.75,0.3535533905932738,3,1.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,3.0,2.8284271247461903,0.7142857142857143,0.4040610178208843,3,2.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,0.0,0.6071428571428572,0.15152288168283165,3,3.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,3.25,1.0606601717798212,0.5982142857142857,0.037880720420707926,3,4.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,4.166666666666667,2.9297326385411577,0.5773809523809524,0.25021249472599644,3,5.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,2.75,0.3535533905932738,0.5625,0.08838834764831845,3,6.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.0,1.4142135623730951,0.5,0.0,3,7.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,5.5,0.7071067811865476,0.39285714285714285,0.15152288168283162,3,8.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,7.25,0.3535533905932738,0.2589285714285714,0.16414978848973427,3,9.0
plain,plain,plain,6.666666666666667,3.2145502536643185,0.16666666666666666,0.2886751345948129,3,10.0
