model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,7.0,0.5
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.0,0.5625
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,0.6071428571428572
GPT-4.1,scaffold_GPT-4.1,1.0,0.75
GPT-5-Mini,scaffold_GPT-5-Mini,4.0,0.5982142857142857
GPT-O3-Mini,scaffold_GPT-O3-Mini,9.0,0.2589285714285714
GPT-O4-Mini,scaffold_GPT-O4-Mini,8.0,0.39285714285714285
GPT-OSS-120B,scaffold_GPT-OSS-120B,2.0,0.7142857142857143
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,5.0,0.5773809523809524
plain,plain,10.0,0.16666666666666666
