model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,1.0,0.7916666666666666
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.0,0.5416666666666666
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,8.0,0.3988095238095238
GPT-4.1,scaffold_GPT-4.1,3.0,0.7440476190476191
GPT-5-Mini,scaffold_GPT-5-Mini,10.0,0.041666666666666664
GPT-O3-Mini,scaffold_GPT-O3-Mini,6.0,0.44047619047619047
GPT-O4-Mini,scaffold_GPT-O4-Mini,9.0,0.21428571428571427
GPT-OSS-120B,scaffold_GPT-OSS-120B,2.0,0.75
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,7.0,0.43452380952380953
plain,plain,4.0,0.6071428571428572
