model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.0,1.3228756555322954,0.7936507936507936,0.18028280462858015,4,1.0
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,2.1666666666666665,1.6072751268321592,0.7857142857142857,0.13946874421261884,4,2.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.6666666666666665,2.0207259421636903,0.6607142857142857,0.18123020651950392,4,3.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.6666666666666665,0.7637626158259734,0.6527777777777778,0.28361913689808527,4,4.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.5,2.0,0.626984126984127,0.11251941967268117,4,5.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.8333333333333335,0.2886751345948129,0.5277777777777778,0.16839382851364088,4,6.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.0,1.0,0.39285714285714285,0.030929478706587098,4,7.0
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,5.5,2.7838821814150108,0.38690476190476186,0.3245549019098949,4,8.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.333333333333333,0.5773502691896257,0.1726190476190476,0.06760605173571754,4,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0
