model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,7.5,0.3333333333333333
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.0,0.5416666666666666
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,0.39285714285714285
GPT-4.1,scaffold_GPT-4.1,2.0,0.7857142857142857
GPT-5-Mini,scaffold_GPT-5-Mini,10.0,0.2976190476190476
GPT-O3-Mini,scaffold_GPT-O3-Mini,9.0,0.31547619047619047
GPT-O4-Mini,scaffold_GPT-O4-Mini,7.5,0.3333333333333333
GPT-OSS-120B,scaffold_GPT-OSS-120B,6.0,0.38690476190476186
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,0.6964285714285715
plain,plain,1.0,0.8125
