model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,2.1666666666666665,0.28867513459481287,0.7797619047619048,0.08438956475451083,4,1.0
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,2.5,1.5,0.7380952380952381,0.12668926579638548,4,2.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.8333333333333335,1.8929694486000912,0.6805555555555555,0.1878854063676206,4,3.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.8333333333333335,2.0207259421636903,0.5793650793650794,0.08361629962581538,4,4.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.5,1.5,0.5694444444444444,0.2774303382699747,4,5.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.6666666666666665,1.2583057392117916,0.5158730158730159,0.190971578024063,4,6.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.5,3.0413812651491097,0.48809523809523814,0.31760289457033575,4,7.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.833333333333333,0.7637626158259734,0.3511904761904762,0.09163573999012295,4,8.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,6.833333333333333,0.7637626158259733,0.2976190476190476,0.13402774106187743,4,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0
