model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,1.75,0.3535533905932738,0.75,0.0,3,1.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.5,2.1213203435596424,0.7410714285714286,0.16414978848973424,3,2.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.25,0.3535533905932738,0.7321428571428572,0.02525381361380522,3,3.0
plain,plain,plain,4.0,2.179449471770337,0.5595238095238095,0.1687791295090217,3,4.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,4.5,2.8284271247461903,0.5446428571428572,0.2399112293311501,3,5.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,4.5,3.5355339059327378,0.5178571428571428,0.32829957697946854,3,6.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,5.25,1.7677669529663689,0.4732142857142857,0.13889597487592897,3,7.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,4.25,1.7677669529663689,0.4642857142857143,0.050507627227610534,3,8.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.25,2.4748737341529163,0.25,0.0,3,9.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,7.166666666666667,2.3629078131263044,0.125,0.125,3,10.0
