model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.0,0.5,0.7638888888888888,0.10485881160098263,4,1.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.8333333333333335,1.607275126832159,0.6527777777777778,0.33420026154211013,4,2.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.3333333333333335,2.753785273643051,0.6329365079365079,0.24283477176763765,4,3.0
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.8333333333333335,1.607275126832159,0.6190476190476191,0.20619652471058064,4,4.0
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,3.6666666666666665,3.0550504633038935,0.5892857142857143,0.42968605055414166,4,5.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.0,1.3228756555322954,0.5595238095238095,0.16877912950902174,4,6.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,4.333333333333333,2.8431203515386634,0.4801587301587302,0.32912594110704707,4,7.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,5.833333333333333,0.7637626158259734,0.39285714285714285,0.030929478706587098,4,8.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.833333333333333,1.6072751268321592,0.30952380952380953,0.10309826235529032,4,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0
