model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.25,0.3535533905932738,0.8333333333333333,0.23570226039551584,3,1.0
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,3.0,2.8284271247461903,0.7142857142857143,0.4040610178208843,3,2.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.25,1.0606601717798212,0.6458333333333333,0.029462782549439494,3,3.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,4.5,3.5355339059327378,0.6160714285714286,0.34092648378637114,3,4.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,4.0,1.4142135623730951,0.6071428571428572,0.15152288168283165,3,5.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.25,0.3535533905932738,0.47916666666666663,0.20623947784607635,3,6.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.5,2.1213203435596424,0.45535714285714285,0.23991122933115006,3,7.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,4.833333333333333,1.8929694486000912,0.42658730158730157,0.1271545235715247,3,8.0
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,7.5,0.7071067811865476,0.1875,0.2651650429449553,3,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,1.4142135623730951,0.07142857142857142,0.10101525445522107,3,10.0
