model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,1.3333333333333333,0.5773502691896258,0.9166666666666666,0.07216878364870322,4,1.0
plain,plain,plain,2.875,1.796988221070652,0.7142857142857143,0.15152288168283165,4,2.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.3333333333333335,0.5773502691896258,0.6130952380952381,0.10763774595253055,4,3.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.1666666666666665,1.8929694486000912,0.6071428571428571,0.37627334831616926,4,4.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.666666666666667,1.2583057392117918,0.4166666666666667,0.19094065395649334,4,5.5
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.166666666666667,3.3291640592396967,0.4166666666666667,0.31457643480294795,4,5.5
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.166666666666667,1.6072751268321592,0.39285714285714285,0.1287696884094282,4,7.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,6.166666666666667,2.753785273643051,0.3452380952380952,0.25525930526656626,4,8.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,5.833333333333333,2.9297326385411577,0.33928571428571425,0.35580105080662994,4,9.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,7.333333333333333,1.1547005383792517,0.16666666666666666,0.19094065395649334,4,10.0
