model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,6.0,0.5416666666666666
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,1.0,0.6666666666666666
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,0.6130952380952381
GPT-4.1,scaffold_GPT-4.1,7.0,0.5238095238095238
GPT-5-Mini,scaffold_GPT-5-Mini,9.0,0.3452380952380952
GPT-O3-Mini,scaffold_GPT-O3-Mini,5.0,0.5535714285714285
GPT-O4-Mini,scaffold_GPT-O4-Mini,8.0,0.42857142857142855
GPT-OSS-120B,scaffold_GPT-OSS-120B,10.0,0.08333333333333333
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,2.0,0.625
plain,plain,4.0,0.5892857142857143
