model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,1.5,0.7071067811865476,0.875,0.1767766952966369,3,1.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,2.0,1.4142135623730951,0.6875,0.2651650429449553,3,2.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,3.75,2.4748737341529163,0.6785714285714286,0.2525381361380527,3,3.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,0.0,0.6071428571428572,0.15152288168283165,3,4.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,3.75,0.3535533905932738,0.5982142857142857,0.037880720420707926,3,5.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,5.166666666666667,2.254624876411447,0.39285714285714285,0.1287696884094282,3,6.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.25,3.181980515339464,0.375,0.1767766952966369,3,7.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.25,1.0606601717798212,0.3214285714285714,0.2525381361380527,3,8.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,5.75,3.181980515339464,0.3125,0.4419417382415922,3,9.0
plain,plain,plain,6.0,3.0,0.30357142857142855,0.18813667415808463,3,10.0
