model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,1.0,0.0,0.9375,0.08838834764831845,3,1.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.1666666666666665,1.0408329997330665,0.6944444444444445,0.3367876570272817,3,2.0
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.5,0.7071067811865476,0.6696428571428572,0.06313453403451322,3,3.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.5,0.7071067811865476,0.5952380952380952,0.3703892663358106,3,4.0
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,4.75,1.0606601717798212,0.5357142857142857,0.05050762722761051,3,5.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.25,2.4748737341529163,0.5178571428571428,0.32829957697946854,3,6.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.0,1.4142135623730951,0.4017857142857143,0.037880720420707906,3,7.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,6.25,1.0606601717798212,0.3214285714285714,0.2525381361380527,3,8.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,5.5,3.5355339059327378,0.22916666666666666,0.14731391274719738,3,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.5,0.7071067811865476,0.0,0.0,3,10.0
