model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,9.0,0.22916666666666666
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,1.0,0.9375
DeepSeek-V3.1,automation_DeepSeek-V3.1,4.0,0.5952380952380952
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,7.0,0.4017857142857143
GPT-5-Mini,automation_GPT-5-Mini,3.0,0.6696428571428572
GPT-O3-Mini,automation_GPT-O3-Mini,8.0,0.3214285714285714
GPT-O4-Mini,automation_GPT-O4-Mini,6.0,0.5178571428571428
GPT-OSS-120B,automation_GPT-OSS-120B,5.0,0.5357142857142857
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,0.6944444444444445
