model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,0.6875
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,10.0,0.25
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.0,0.8035714285714286
GPT-4.1,scaffold_GPT-4.1,4.0,0.5982142857142857
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,0.875
GPT-O3-Mini,scaffold_GPT-O3-Mini,9.0,0.2589285714285714
GPT-O4-Mini,scaffold_GPT-O4-Mini,6.0,0.39285714285714285
GPT-OSS-120B,scaffold_GPT-OSS-120B,7.0,0.33035714285714285
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,8.0,0.30357142857142855
plain,plain,5.0,0.5654761904761905
