model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,2.0,0.6851851851851851
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,4.0,0.6342592592592592
DeepSeek-V3.1,automation_DeepSeek-V3.1,5.0,0.6031746031746031
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.30357142857142855
GPT-5-Mini,automation_GPT-5-Mini,6.0,0.5873015873015873
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.2837301587301588
GPT-O4-Mini,automation_GPT-O4-Mini,7.0,0.46230158730158727
GPT-OSS-120B,automation_GPT-OSS-120B,3.0,0.636904761904762
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,1.0,0.8035714285714285
