model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.0,0.5416666666666666
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.0,0.4583333333333333
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.0,0.6547619047619048
GPT-4.1,scaffold_GPT-4.1,6.0,0.4702380952380952
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,0.8333333333333334
GPT-O3-Mini,scaffold_GPT-O3-Mini,9.0,0.38690476190476186
GPT-O4-Mini,scaffold_GPT-O4-Mini,10.0,0.16666666666666666
GPT-OSS-120B,scaffold_GPT-OSS-120B,3.0,0.5773809523809524
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,8.0,0.39285714285714285
plain,plain,5.0,0.5133928571428572
