model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,1.8333333333333333,1.0408329997330663,0.8333333333333334,0.19094065395649332,4,1.5
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,1.8333333333333333,1.0408329997330663,0.8333333333333334,0.14433756729740646,4,1.5
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.5,1.8027756377319946,0.626984126984127,0.11251941967268117,4,3.0
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,4.5,2.179449471770337,0.5773809523809524,0.2502124947259965,4,4.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,3.3333333333333335,2.0207259421636903,0.5694444444444444,0.2774303382699747,4,5.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,5.166666666666667,0.2886751345948129,0.4761904761904762,0.04123930494211612,4,6.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,4.0,0.0,0.3988095238095238,0.3464162982607491,4,7.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,5.333333333333333,3.3291640592396967,0.38095238095238093,0.32406327592419526,4,8.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,7.166666666666667,1.0408329997330663,0.30357142857142855,0.06438484420471409,4,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0
