worker_model,assistant_model,condition,avg_rank,sd_rank,avg_win_rate,sd_win_rate,avg_total_wins,avg_total_games,n_runs
gpt-3.5-turbo,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,1.0,0.0,1.0,0.0,27.0,27.0,5
gpt-3.5-turbo,GPT-O3-Mini,scaffold_GPT-O3-Mini,2.0,0.0,0.888888888888889,0.0,24.0,27.0,5
gpt-3.5-turbo,GPT-OSS-120B,scaffold_GPT-OSS-120B,3.0,0.0,0.7777777777777778,0.0,21.0,27.0,5
gpt-3.5-turbo,GPT-O4-Mini,scaffold_GPT-O4-Mini,4.0,0.0,0.6666666666666666,0.0,18.0,27.0,5
gpt-3.5-turbo,Claude-3.5-Sonnet,scaffold_Claude-3.5-Sonnet,5.0,0.0,0.5555555555555556,0.0,15.0,27.0,5
gpt-3.5-turbo,GPT-5.4,scaffold_GPT-5.4,6.033333333333333,0.07453559924999344,0.437037037037037,0.01656346649999843,11.8,27.0,5
gpt-3.5-turbo,Claude-Opus-4.6,scaffold_Claude-Opus-4.6,7.3,0.6708203932499369,0.3037037037037037,0.06625386599999376,8.2,27.0,5
gpt-3.5-turbo,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,7.766666666666666,0.5217491947499513,0.2444444444444444,0.04969039949999533,6.6,27.0,5
gpt-3.5-turbo,GPT-4.1,scaffold_GPT-4.1,9.066666666666666,0.14907119849998687,0.1037037037037037,0.01656346649999844,2.8,27.0,5
gpt-3.5-turbo,plain,plain,9.833333333333332,0.3726779962499658,0.02222222222222222,0.049690399499995326,0.6,27.0,5
