model_id,model_label,condition,avg_rank,sd_rank,avg_win_rate,sd_win_rate,avg_total_wins,avg_total_games,n_runs
openai/gpt-oss-120b,GPT-OSS-120B,GPT-OSS-120B,1.4333333333333333,0.14907119849998587,0.8962962962962961,0.0165634664999985,24.2,27.0,5
gpt-5.4,gpt-5.4,gpt-5.4,1.6666666666666667,0.372677996249965,0.874074074074074,0.03312693299999684,23.6,27.0,5
claude-opus-4-6,Claude-Opus-4.6,Claude-Opus-4.6,3.4,0.22360679774997894,0.7777777777777778,0.0,21.0,27.0,5
gpt-4.1,GPT-4.1,GPT-4.1,3.5333333333333337,0.07453559924999278,0.7703703703703704,0.016563466499998396,20.8,27.0,5
o4-mini-2025-04-16,GPT-O4-Mini,GPT-O4-Mini,4.966666666666667,0.07453559924999344,0.5703703703703704,0.03312693299999686,15.4,27.0,5
gemini-3.1-pro-preview,Gemini-3.1-Pro,Gemini-3.1-Pro,6.5,0.0,0.3333333333333333,0.0,9.0,27.0,5
o3-mini-2025-01-31,GPT-O3-Mini,GPT-O3-Mini,6.5,0.0,0.3333333333333333,0.0,9.0,27.0,5
anthropic.claude-3-5-sonnet-20240620-v1:0,Claude-3.5-Sonnet,Claude-3.5-Sonnet,8.0,0.0,0.22222222222222224,0.0,6.0,27.0,5
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,DeepSeek-V3.1,9.5,0.0,0.11111111111111112,0.0,3.0,27.0,5
gpt-3.5-turbo,GPT-3.5-Turbo,GPT-3.5-Turbo,9.5,0.0,0.11111111111111112,0.0,3.0,27.0,5
